article,line_no,phrase,global_citations
"Rene Santa Cruz R, 2017, DYNA, V84, P9",6,the author.,2
"Rene Santa Cruz R, 2017, DYNA, V84, P9",7,licensee universidad nacional de colombia.,2
"Espinosa C, 2017, DYNA, V84, P24",0,carbon nanotubes (cnts) have gained popularity due to their many characteristics which make them the promising material for biomedical applications.,8
"Espinosa C, 2017, DYNA, V84, P24",1,a major challenge when working with cnts is the difficulty to distribute them evenly throughout liquids.,8
"Espinosa C, 2017, DYNA, V84, P24",2,"this research is a comparative analysis of the dispersion of multi wall cnts (mwcnts) in different liquid media (distilled water, ultrapure water of type i [milli-q], ethanol, dimethyl sulfoxide [dmso] and cell culture medium [rpmi-1640]) by using two different sonication techniques (probe-type sonication and ultrasonic bath sonication) as well as determining the effect of sterilization in the presence and absence of fluid before dispersion.",8
"Espinosa C, 2017, DYNA, V84, P24",3,the results indicate that the best method to achieve a cnts dispersion is to use a probe-type sonicator as well as to sterilize the cnts samples in the presence of fluid.,8
"Espinosa C, 2017, DYNA, V84, P24",4,the author.,8
"Espinosa C, 2017, DYNA, V84, P24",5,licensee universidad nacional de colombia.,8
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",0,"several ways to perform data encryption have been found, and one of the functions involved in standard algorithms such as rsa is the modular exponentiation.",0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",1,"basically, the rsa algorithm uses some properties of modular arithmetic to cipher and decipher plain text, with a certain performance dependence on text lengths.",0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",2,the growth in computing capacity has created the need to use robust systems that can perform calculations with significantly large numbers and the formulation of procedures focused on improving the speed to achieve it.,0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",3,one of these is the m-ary algorithm for the execution of the modular exponential function.,0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",4,this paper describes an implementation of this algorithm in reprogrammable hardware (fpga) to evaluate its performance.,0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",5,the first section of this work introduces the m-ary algorithm.,0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",6,the second section uses block description for implementation understanding.,0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",7,"the third section shows the results in time diagrams, and finally, the last section conclusions.",0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",8,the author.,0
"Arenas-Hoyos SA, 2017, DYNA, V84, P75",9,licensee universidad nacional de colombia.,0
"Velosa-Garcia JD, 2017, DYNA, V84, P65",0,"the article presents a proposal for a combination of laboratories in engineering, called hybrid laboratories (lh, for its acronym in spanish), that is, a mixture of face-to-face (ho), virtual local (lv) and remote (lr) laboratories.",1
"Velosa-Garcia JD, 2017, DYNA, V84, P65",1,to exemplify this proposal was developed a module for teaching processes in manufacturing (cnc machining).,1
"Velosa-Garcia JD, 2017, DYNA, V84, P65",2,"from this study we propose the generic characteristics of design, structure and the way of incorporation in a general system.",1
"Velosa-Garcia JD, 2017, DYNA, V84, P65",3,the laboratory experiences are developed through a methodology supported by the tool 'deployment of the quality function (qfd).,1
"Velosa-Garcia JD, 2017, DYNA, V84, P65",4,"the characteristics found in these lh laboratories are the basis for a possible general, replicable and scalable modular structure in a flexible laboratory practice development system.",1
"Velosa-Garcia JD, 2017, DYNA, V84, P65",5,the author.,1
"Velosa-Garcia JD, 2017, DYNA, V84, P65",6,licensee universidad nacional de colombia.,1
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",0,"natural rubber (nr) is a widely used biopolymer, but the variability of its properties is a great disadvantage.",5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",1,"in this work, variation during a 6-month period of total solids (tsc), dry rubber (drc), ash, volatile-matter, and nitrogen content of field natural rubber (nr) lattices and mechanical properties of nr solid sheets-based compounds was studied.",5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",2,"nr samples were collected from ian 710, ian 873 and fx 3864 clones of hevea brasiliensis at a plantation within the state of antioquia, colombia.",5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",3,"rainfall, environmental temperature, relative humidity, and sunlight hours were daily registered.",5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",4,nr sheets-based compounds were manufactured and their rheometric and mechanical properties were measured.,5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",5,significant variations (p<0.05) among clones and tappings for most of the measured properties were found.,5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",6,leaf senescence was the phenological stage that presented the greatest influence on nr properties.,5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",7,some recommendations to control the variation of properties of raw nr during manufacturing of rubber goods were stated.,5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",8,the author.,5
"Giraldo-Vasquez DH, 2017, DYNA, V84, P80",9,licensee universidad nacional de colombia.,5
"Pineda-Jaramillo JD, 2017, DYNA, V84, P17",0,"this paper presents the training of an artificial neural network using consumption data measured in the metropolitan network of valencia, spain, to estimate the energy consumption of a metro system.",4
"Pineda-Jaramillo JD, 2017, DYNA, V84, P17",1,"after calibration and validation of the neural network, the results obtained show that it can be used to predict energy consumption with high accuracy.",4
"Pineda-Jaramillo JD, 2017, DYNA, V84, P17",2,"once fully trained, the neural network is used for testing hypothetical operational scenarios aimed to reduce the energy consumption of a metro system.",4
"Pineda-Jaramillo JD, 2017, DYNA, V84, P17",3,these operational scenarios include different vertical alignments that prove that symmetric vertical sinusoid alignments (svsa) can reduce energy consumption by 18.41% in contrast to a flat (0% gradient) alignment.,4
"Pineda-Jaramillo JD, 2017, DYNA, V84, P17",4,the author.,4
"Pineda-Jaramillo JD, 2017, DYNA, V84, P17",5,licensee universidad nacional de colombia.,4
"Prieto Calderon JL, 2017, DYNA, V84, P45",0,the dam failure of vega de tera in 1959 was a milestone on the engineering and risk perception of dam in spain.,2
"Prieto Calderon JL, 2017, DYNA, V84, P45",1,the back analysis of dam failure and hydraulic model let us improve the spatial planning and the risk assessment.,2
"Prieto Calderon JL, 2017, DYNA, V84, P45",2,"so the main core of this paper is to reconstruct the dam break and compute the spread flow generated, for this task we have been simulated the hydrograph and the peak flow.",2
"Prieto Calderon JL, 2017, DYNA, V84, P45",3,"in this way, has been developed a hec-ras hydraulic model.",2
"Prieto Calderon JL, 2017, DYNA, V84, P45",4,"the model shows that the dam failure was an almost instant (26 min), with a maximum flow of 13000 m3/s (maximum speed 30 m/s, and maximum draft 24 m).",2
"Prieto Calderon JL, 2017, DYNA, V84, P45",5,"finally, all the hydraulic results corroborate the great destruction generated and the catastrophic scenario observed in the historical images.",2
"Prieto Calderon JL, 2017, DYNA, V84, P45",6,the author.,2
"Prieto Calderon JL, 2017, DYNA, V84, P45",7,licensee universidad nacional de colombia.,2
"Garcia-Garizabal I, 2017, DYNA, V84, P37",0,"the study presented herein characterizes climate for historical series (1982-2011) of average temperature and precipitation, also including future projections (2012-2099) for the province of santa elena, westernmost point of continental ecuador, which presents desert environment in the intertropical belt.",3
"Garcia-Garizabal I, 2017, DYNA, V84, P37",1,"the historical analysis shows increasing temperatures (0,038 oc/year) and precipitation (0,196 mm/year).",3
"Garcia-Garizabal I, 2017, DYNA, V84, P37",2,comparison of historical and generated (65 climate models) climate determines scenario echog a2 as the most appropriate to reproduce the climate of the zone.,3
"Garcia-Garizabal I, 2017, DYNA, V84, P37",3,"this model predicts increases in temperature (+2,7 oc), precipitation (+8,2%), and in maximum annual rain values, at the end of the xxi century.",3
"Garcia-Garizabal I, 2017, DYNA, V84, P37",4,"evolution of temperature and precipitation does not lead to changes in annual climate characteristics, which is maintained as semiarid, but the aridity index decreases monthly, from january to april.",3
"Garcia-Garizabal I, 2017, DYNA, V84, P37",5,the author.,3
"Garcia-Garizabal I, 2017, DYNA, V84, P37",6,licensee universidad nacional de colombia.,3
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",0,"the influence of various cutting parameters, cutting speed (vc), feed rate (f), and depth of cut (d) on the surface hardness developed by turning annealed aisi 1020 steel using carbide insert tools was investigated.",0
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",1,it was shown from the measured results that hardness increases with the increase in all the studied parameters.,0
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",2,an analysis of variance (anova) was employed to determine the contributions of each parameter on the response variable.,0
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",3,"from the results, it was found that cutting speed has the most significant role in producing surface hardness (69.2%) followed by feed rate (24.4%), while the depth of cut has the lesser effect (6.4%).",0
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",4,"finally, a simple equation is proposed, for the prediction of the values of surface hardness, which accounts for the effects of process parameters.",0
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",5,the author.,0
"Zurita-Hurtado OJ, 2017, DYNA, V84, P31",6,licensee universidad nacional de colombia.,0
"Berrio-Betancur LF, 2017, DYNA, V84, P55",0,magnesium and its alloys are some of the materials that have had notable growing progress in recent years.,2
"Berrio-Betancur LF, 2017, DYNA, V84, P55",1,"this interest in magnesium base alloys is due to both, its physical and mechanical properties, as well as the search for alternatives to less polluting materials.",2
"Berrio-Betancur LF, 2017, DYNA, V84, P55",2,"in order to provide an overview of the possibilities that the use of this material has in the domestic industry, this work gives a look at the basic aspects of the material and the processes of obtaining.",2
